,time,flare_status,si,sid,sa
310,310.0,no flare,0.1,0.25,1.0
311,311.0,no flare,0.1,0.25,1.0
312,312.0,no flare,0.1,0.25,1.0
313,313.0,no flare,0.1,0.25,1.0
314,314.0,no flare,0.1,0.25,1.0
315,315.0,no flare,0.1,0.25,1.0
316,316.0,no flare,0.1,0.25,1.0
317,317.0,no flare,0.1,0.25,1.0
318,318.0,no flare,0.1,0.25,1.0
319,319.0,no flare,0.1,0.25,1.0
320,320.0,no flare,0.1,0.25,1.0
321,321.0,no flare,0.1,0.25,1.0
322,322.0,no flare,0.1,0.25,1.0
323,323.0,no flare,0.1,0.25,1.0
324,324.0,no flare,0.1,0.25,1.0
325,325.0,no flare,0.1,0.25,1.0
326,326.0,no flare,0.1,0.25,1.0
327,327.0,no flare,0.1,0.25,1.0
328,328.0,no flare,0.1,0.25,1.0
329,329.0,flare,0.5,1.25,0.25
330,330.0,flare,0.5,1.25,0.25
331,331.0,flare,0.5,1.25,0.25
332,332.0,flare,0.5,1.25,0.25
333,333.0,flare,0.5,1.25,0.25
334,334.0,no flare,0.1,0.25,1.0
335,335.0,no flare,0.1,0.25,1.0
336,336.0,no flare,0.1,0.25,1.0
337,337.0,no flare,0.1,0.25,1.0
338,338.0,no flare,0.1,0.25,1.0
339,339.0,no flare,0.1,0.25,1.0
340,340.0,no flare,0.1,0.25,1.0
341,341.0,no flare,0.1,0.25,1.0
342,342.0,no flare,0.1,0.25,1.0
343,343.0,no flare,0.1,0.25,1.0
344,344.0,no flare,0.1,0.25,1.0
345,345.0,no flare,0.1,0.25,1.0
346,346.0,no flare,0.1,0.25,1.0
347,347.0,no flare,0.1,0.25,1.0
348,348.0,no flare,0.1,0.25,1.0
349,349.0,no flare,0.1,0.25,1.0
350,350.0,no flare,0.1,0.25,1.0
351,351.0,no flare,0.1,0.25,1.0
352,352.0,no flare,0.1,0.25,1.0
353,353.0,no flare,0.1,0.25,1.0
354,354.0,no flare,0.1,0.25,1.0
355,355.0,no flare,0.1,0.25,1.0
356,356.0,no flare,0.1,0.25,1.0
357,357.0,no flare,0.1,0.25,1.0
358,358.0,no flare,0.1,0.25,1.0
359,359.0,no flare,0.1,0.25,1.0
360,360.0,no flare,0.1,0.25,1.0
361,361.0,no flare,0.1,0.25,1.0
362,362.0,no flare,0.1,0.25,1.0
363,363.0,no flare,0.1,0.25,1.0
364,364.0,no flare,0.1,0.25,1.0
365,365.0,no flare,0.1,0.25,1.0
366,366.0,no flare,0.1,0.25,1.0
367,367.0,no flare,0.1,0.25,1.0
368,368.0,no flare,0.1,0.25,1.0
369,369.0,no flare,0.1,0.25,1.0
370,370.0,no flare,0.1,0.25,1.0
371,371.0,no flare,0.1,0.25,1.0
372,372.0,no flare,0.1,0.25,1.0
373,373.0,no flare,0.1,0.25,1.0
374,374.0,no flare,0.1,0.25,1.0
375,375.0,no flare,0.1,0.25,1.0
376,376.0,no flare,0.1,0.25,1.0
377,377.0,no flare,0.1,0.25,1.0
378,378.0,no flare,0.1,0.25,1.0
379,379.0,no flare,0.1,0.25,1.0
380,380.0,no flare,0.1,0.25,1.0
381,381.0,no flare,0.1,0.25,1.0
382,382.0,no flare,0.1,0.25,1.0
383,383.0,no flare,0.1,0.25,1.0
384,384.0,no flare,0.1,0.25,1.0
385,385.0,no flare,0.1,0.25,1.0
386,386.0,no flare,0.1,0.25,1.0
387,387.0,no flare,0.1,0.25,1.0
388,388.0,no flare,0.1,0.25,1.0
389,389.0,no flare,0.1,0.25,1.0
390,390.0,no flare,0.1,0.25,1.0
391,391.0,no flare,0.1,0.25,1.0
392,392.0,no flare,0.1,0.25,1.0
393,393.0,no flare,0.1,0.25,1.0
394,394.0,no flare,0.1,0.25,1.0
395,395.0,no flare,0.1,0.25,1.0
396,396.0,no flare,0.1,0.25,1.0
397,397.0,flare,0.5,1.25,0.25
398,398.0,flare,0.5,1.25,0.25
399,399.0,flare,0.5,1.25,0.25
400,400.0,flare,0.5,1.25,0.25
401,401.0,flare,0.5,1.25,0.25
402,402.0,no flare,0.1,0.25,1.0
403,403.0,no flare,0.1,0.25,1.0
404,404.0,no flare,0.1,0.25,1.0
405,405.0,no flare,0.1,0.25,1.0
406,406.0,no flare,0.1,0.25,1.0
407,407.0,no flare,0.1,0.25,1.0
408,408.0,no flare,0.1,0.25,1.0
409,409.0,no flare,0.1,0.25,1.0
410,410.0,no flare,0.1,0.25,1.0
411,411.0,no flare,0.1,0.25,1.0
412,412.0,no flare,0.1,0.25,1.0
413,413.0,no flare,0.1,0.25,1.0
414,414.0,no flare,0.1,0.25,1.0
415,415.0,no flare,0.1,0.25,1.0
416,416.0,no flare,0.1,0.25,1.0
417,417.0,no flare,0.1,0.25,1.0
418,418.0,no flare,0.1,0.25,1.0
419,419.0,no flare,0.1,0.25,1.0
420,420.0,no flare,0.1,0.25,1.0
421,421.0,no flare,0.1,0.25,1.0
422,422.0,no flare,0.1,0.25,1.0
423,423.0,no flare,0.1,0.25,1.0
424,424.0,no flare,0.1,0.25,1.0
425,425.0,no flare,0.1,0.25,1.0
426,426.0,flare,0.5,1.25,0.25
427,427.0,flare,0.5,1.25,0.25
428,428.0,flare,0.5,1.25,0.25
429,429.0,flare,0.5,1.25,0.25
430,430.0,flare,0.5,1.25,0.25
431,431.0,no flare,0.1,0.25,1.0
432,432.0,no flare,0.1,0.25,1.0
433,433.0,no flare,0.1,0.25,1.0
434,434.0,no flare,0.1,0.25,1.0
435,435.0,no flare,0.1,0.25,1.0
436,436.0,no flare,0.1,0.25,1.0
437,437.0,no flare,0.1,0.25,1.0
438,438.0,no flare,0.1,0.25,1.0
439,439.0,no flare,0.1,0.25,1.0
440,440.0,flare,0.5,1.25,0.25
441,441.0,flare,0.5,1.25,0.25
442,442.0,flare,0.5,1.25,0.25
443,443.0,flare,0.5,1.25,0.25
444,444.0,flare,0.5,1.25,0.25
445,445.0,no flare,0.1,0.25,1.0
446,446.0,no flare,0.1,0.25,1.0
447,447.0,no flare,0.1,0.25,1.0
448,448.0,no flare,0.1,0.25,1.0
449,449.0,no flare,0.1,0.25,1.0
450,450.0,no flare,0.1,0.25,1.0
451,451.0,no flare,0.1,0.25,1.0
452,452.0,no flare,0.1,0.25,1.0
453,453.0,flare,0.5,1.25,0.25
454,454.0,flare,0.5,1.25,0.25
455,455.0,flare,0.5,1.25,0.25
456,456.0,flare,0.5,1.25,0.25
457,457.0,flare,0.5,1.25,0.25
458,458.0,no flare,0.1,0.25,1.0
459,459.0,no flare,0.1,0.25,1.0
460,460.0,flare,0.5,1.25,0.25
461,461.0,flare,0.5,1.25,0.25
462,462.0,flare,0.5,1.25,0.25
463,463.0,flare,0.5,1.25,0.25
464,464.0,flare,0.5,1.25,0.25
465,465.0,no flare,0.1,0.25,1.0
466,466.0,no flare,0.1,0.25,1.0
467,467.0,no flare,0.1,0.25,1.0
468,468.0,no flare,0.1,0.25,1.0
469,469.0,no flare,0.1,0.25,1.0
470,470.0,no flare,0.1,0.25,1.0
471,471.0,no flare,0.1,0.25,1.0
472,472.0,no flare,0.1,0.25,1.0
473,473.0,flare,0.5,1.25,0.25
474,474.0,flare,0.5,1.25,0.25
475,475.0,flare,0.5,1.25,0.25
476,476.0,flare,0.5,1.25,0.25
477,477.0,flare,0.5,1.25,0.25
478,478.0,no flare,0.1,0.25,1.0
479,479.0,no flare,0.1,0.25,1.0
480,480.0,flare,0.5,1.25,0.25
481,481.0,flare,0.5,1.25,0.25
482,482.0,flare,0.5,1.25,0.25
483,483.0,flare,0.5,1.25,0.25
484,484.0,flare,0.5,1.25,0.25
485,485.0,no flare,0.1,0.25,1.0
486,486.0,no flare,0.1,0.25,1.0
487,487.0,no flare,0.1,0.25,1.0
488,488.0,no flare,0.1,0.25,1.0
489,489.0,no flare,0.1,0.25,1.0
490,490.0,no flare,0.1,0.25,1.0
491,491.0,no flare,0.1,0.25,1.0
492,492.0,flare,0.5,1.25,0.25
493,493.0,flare,0.5,1.25,0.25
494,494.0,flare,0.5,1.25,0.25
495,495.0,flare,0.5,1.25,0.25
496,496.0,flare,0.5,1.25,0.25
497,497.0,no flare,0.1,0.25,1.0
498,498.0,no flare,0.1,0.25,1.0
499,499.0,no flare,0.1,0.25,1.0
500,500.0,no flare,0.1,0.25,1.0
